rank,line_code,line_name,status,data_year,central_mln,automation_level,primary_url,primary_fetch_ok,primary_http_status,primary_line_match,primary_value_match,primary_cache_path,secondary_url,secondary_fetch_ok,secondary_http_status,secondary_line_match,secondary_value_match,secondary_cache_path,method_note,primary_snippets,secondary_snippets,primary_error,secondary_error
11,Bologna-Piacenza-Milano,Bologna – Piacenza – Milano,R/S,2025,10.56,regional_source_checked_line_parser_needed,https://mobilita.regione.emilia-romagna.it/ferrovie/dati-e-progetti/frequentazioni,True,200,True,False,data\reproducibility\source_audit\_cache\713c59ef84d1f4d4.html,,False,,False,False,,Fonte regionale disponibile; serve parser dedicato per trasformare tabelle/pagine locali in valore annuo di linea.,"i rivolgersi Area Trasporto pubblico e mobilità sostenibile Responsabile: Alessandro Meggiato viale Aldo Moro, 30 40127 Bologna tel. 051.527.3471 trasportopubblico@regione.emilia-romagna.it Ultimo aggiornamento : 07-05-2026 08:17 Quanto sono chiar",,,not a URL
12,S1,S1 Saronno – Milano Passante – Lodi,L25,2025,10.4265,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
13,FL8,FL8 Roma – Nettuno,S,2025 stimato,9.9,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,True,200,True,False,data\reproducibility\source_audit\_cache\773f4069390fdcd5.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,True,False,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","e dei treni circolanti nel Lazio nel giorno medio feriale < a 6% FL4: Roma-Albano FL4: Roma-Frascati FL4: Roma-Velletri FL8: Roma-Nettuno Viterbo-Orte Avezzano-Roccasecca Terni-Rieti-L’Aquila Roma – Vigna Clara Le stazioni sono state classific || trasporto). Nell’ambito della regione Lazio sono attive 26 collaborazioni, tra le ultime quelle con Cinecittà Word e il Roma Word per raggiungere i due parchi divertimento dalla stazione di Roma Termini. (https://www.trenitalia.com/it/treni_reg || i circolanti nel Lazio nel giorno medio feriale < a 6% FL4: Roma-Albano FL4: Roma-Frascati FL4: Roma-Velletri FL8: Roma-Nettuno Viterbo-Orte Avezzano-Roccasecca Terni-Rieti-L’Aquila Roma – Vigna Clara Le stazioni sono state classificate nel Contra","osto con un incremento ulteriore di viaggiatori fino a 81.500 al giorno (75.000 da rapporto 2018). Secondo posto per la Roma Nord-Viterbo con 75.000 pendolari al giorno, terzo per Roma Ostiense-Viterbo con 65.000 viaggiatori al pari della Roma",,
14,FL4,FL4 Roma – Castelli Romani,S,2025 stimato,9.85,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,True,200,True,False,data\reproducibility\source_audit\_cache\773f4069390fdcd5.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,True,False,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","e con numero di treni al giorno medio feriale sul totale dei treni circolanti nel Lazio nel giorno medio feriale < a 6% FL4: Roma-Albano FL4: Roma-Frascati FL4: Roma-Velletri FL8: Roma-Nettuno Viterbo-Orte Avezzano-Roccasecca Terni-Rieti-L’Aqu || trasporto). Nell’ambito della regione Lazio sono attive 26 collaborazioni, tra le ultime quelle con Cinecittà Word e il Roma Word per raggiungere i due parchi divertimento dalla stazione di Roma Termini. (https://www.trenitalia.com/it/treni_reg","osto con un incremento ulteriore di viaggiatori fino a 81.500 al giorno (75.000 da rapporto 2018). Secondo posto per la Roma Nord-Viterbo con 75.000 pendolari al giorno, terzo per Roma Ostiense-Viterbo con 65.000 viaggiatori al pari della Roma",,
15,FL6,FL6 Roma – Frosinone/Cassino,S,2025 stimato,9.7,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,True,200,True,True,data\reproducibility\source_audit\_cache\773f4069390fdcd5.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,True,True,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","sicuro e confortevole per sé e per gli altri. Per ulteriori informazioni clicca qui. Macrovoce % LIVELLO DI SERIVIZIO 39,7 REGOLARITÀ E PUNTUALITÀ 17,9 COMFORT 2,3 INFORMAZIONI 3,4 PERSONALE DI FRONT LINE 1,3 PULIZIA 0,2 SAFETY 0,3 SECURITY 0 || treni IC, ICN e FB - circolanti sulle linee ferroviarie FL1 (Orte-Roma e vv), FL5 (Civitavecchia -Ladispoli-Roma e vv), FL6 (Cassino – Frosinone-Roma e vv) e FL7 (Formia -Latina-Roma e vv) - su una relazione coincidente o compresa all’interno || trasporto). Nell’ambito della regione Lazio sono attive 26 collaborazioni, tra le ultime quelle con Cinecittà Word e il Roma Word per raggiungere i due parchi divertimento dalla stazione di Roma Termini. (https://www.trenitalia.com/it/treni_reg || FB - circolanti sulle linee ferroviarie FL1 (Orte-Roma e vv), FL5 (Civitavecchia -Ladispoli-Roma e vv), FL6 (Cassino – Frosinone-Roma e vv) e FL7 (Formia -Latina-Roma e vv) - su una relazione coincidente o compresa all’interno di quella dell’abbona","ale di viaggiatori che rimane di 540.000 pendolari al giorno. Gli stanziamenti della Regione per i treni sono stati di 39,75 mln di euro (2017) pari allo 0,2 del bilancio regionale, percentuale che fa del Lazio la 13° regione per bilancio dedi || osto con un incremento ulteriore di viaggiatori fino a 81.500 al giorno (75.000 da rapporto 2018). Secondo posto per la Roma Nord-Viterbo con 75.000 pendolari al giorno, terzo per Roma Ostiense-Viterbo con 65.000 viaggiatori al pari della Roma",,
16,S11,S11 Chiasso – Seregno – Milano Porta Garibaldi,L25,2025,9.4652,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
17,RE80,RE80 Locarno – Chiasso – Como – Milano Centrale,L25,2025,9.0559,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
18,S13,S13 Pavia – Milano Passante – Milano Bovisa,L25,2025,8.2505,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
19,S9,S9 Saronno – Seregno – Milano San Cristoforo – Albairate,L25,2025,8.0912,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
20,Padova-Venezia,Padova – Venezia Mestre/Venezia S.L.,S,2025 stimato,8.0,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Veneto.pdf,True,200,True,True,data\reproducibility\source_audit\_cache\a689a3054656ca05.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,False,False,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","ono esclusi i ritardi per eventi eccezionali e scioperi Treni regionali in arrivo entro 15 minuti sull’orario previsto 98,0% 98,0% Percentuale rilevata dal sistema fonte RFI. Sono esclusi i ritardi per eventi eccezionali e scioperi Treni regio || ezia - Bologna 92,00% 92,00% Mantova - Monselice 96,00% 96,00% Verona - Mantova - Modena 97,00% 97,00% Vicenza - Schio 98,00% 98,00% Vicenza - Treviso 97,00% 97,00% Treviso - Portogruaro 96,00% 96,00% Conegliano - Belluno 97,00% 97,00% Padova/T || io 98,00% 98,00% Vicenza - Treviso 97,00% 97,00% Treviso - Portogruaro 96,00% 96,00% Conegliano - Belluno 97,00% 97,00% Padova/Treviso - Montebelluna - Calalzo 93,00% 93,00% Padova - Camposampiero – Bassano del Grappa 96,00% 96,00% Venezia - Cast || vità dell’orario 2024/2025, attivate dal dicembre 2024: • nuova coppia di collegamenti diretti veloci tutti i giorni da Venezia ( 21:40) a Bologna (23:46) e da Bologna (05:10) a Venezia (07:20); l’offerta aumenta i collegamenti diretti tra le due",,,
